Simülasyon süresi: 12 sn
Müşteri gelme aralığı: 2 sn
Tek seferde gelen toplam müşteri sayısı: 3
Tek seferde gelen önemli müşteri sayısı: 3

Yapılan toplam hesaplama sayısı: 370
1) Masa sayısı: 1 | Garson sayısı: 1 | Aşçı sayısı: 1 | Müşteri sayısı: 1 | Kazanç: -2
46) Masa sayısı: 1 | Garson sayısı: 8 | Aşçı sayısı: 3 | Müşteri sayısı: 1 | Kazanç: -11
47) Masa sayısı: 1 | Garson sayısı: 8 | Aşçı sayısı: 4 | Müşteri sayısı: 1 | Kazanç: -12
48) Masa sayısı: 1 | Garson sayısı: 9 | Aşçı sayısı: 1 | Müşteri sayısı: 1 | Kazanç: -10
49) Masa sayısı: 1 | Garson sayısı: 9 | Aşçı sayısı: 2 | Müşteri sayısı: 1 | Kazanç: -11
50) Masa sayısı: 1 | Garson sayısı: 9 | Aşçı sayısı: 3 | Müşteri sayısı: 1 | Kazanç: -12
51) Masa sayısı: 1 | Garson sayısı: 9 | Aşçı sayısı: 4 | Müşteri sayısı: 1 | Kazanç: -13
52) Masa sayısı: 1 | Garson sayısı: 10 | Aşçı sayısı: 1 | Müşteri sayısı: 1 | Kazanç: -11
53) Masa sayısı: 1 | Garson sayısı: 10 | Aşçı sayısı: 2 | Müşteri sayısı: 1 | Kazanç: -12
54) Masa sayısı: 1 | Garson sayısı: 10 | Aşçı sayısı: 3 | Müşteri sayısı: 1 | Kazanç: -13
55) Masa sayısı: 1 | Garson sayısı: 11 | Aşçı sayısı: 1 | Müşteri sayısı: 1 | Kazanç: -12
56) Masa sayısı: 1 | Garson sayısı: 11 | Aşçı sayısı: 2 | Müşteri sayısı: 1 | Kazanç: -13
57) Masa sayısı: 1 | Garson sayısı: 11 | Aşçı sayısı: 3 | Müşteri sayısı: 1 | Kazanç: -14
58) Masa sayısı: 1 | Garson sayısı: 12 | Aşçı sayısı: 1 | Müşteri sayısı: 1 | Kazanç: -13
59) Masa sayısı: 1 | Garson sayısı: 12 | Aşçı sayısı: 2 | Müşteri sayısı: 1 | Kazanç: -14
60) Masa sayısı: 1 | Garson sayısı: 13 | Aşçı sayısı: 1 | Müşteri sayısı: 1 | Kazanç: -14
61) Masa sayısı: 1 | Garson sayısı: 13 | Aşçı sayısı: 2 | Müşteri sayısı: 1 | Kazanç: -15
62) Masa sayısı: 1 | Garson sayısı: 14 | Aşçı sayısı: 1 | Müşteri sayısı: 1 | Kazanç: -15
63) Masa sayısı: 2 | Garson sayısı: 1 | Aşçı sayısı: 1 | Müşteri sayısı: 1 | Kazanç: -3
64) Masa sayısı: 2 | Garson sayısı: 1 | Aşçı sayısı: 2 | Müşteri sayısı: 1 | Kazanç: -4
65) Masa sayısı: 2 | Garson sayısı: 1 | Aşçı sayısı: 3 | Müşteri sayısı: 1 | Kazanç: -5
66) Masa sayısı: 2 | Garson sayısı: 1 | Aşçı sayısı: 4 | Müşteri sayısı: 1 | Kazanç: -6
67) Masa sayısı: 2 | Garson sayısı: 1 | Aşçı sayısı: 5 | Müşteri sayısı: 1 | Kazanç: -7
68) Masa sayısı: 2 | Garson sayısı: 1 | Aşçı sayısı: 6 | Müşteri sayısı: 1 | Kazanç: -8
69) Masa sayısı: 2 | Garson sayısı: 1 | Aşçı sayısı: 7 | Müşteri sayısı: 1 | Kazanç: -9
70) Masa sayısı: 2 | Garson sayısı: 2 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -3
71) Masa sayısı: 2 | Garson sayısı: 2 | Aşçı sayısı: 2 | Müşteri sayısı: 2 | Kazanç: -4
72) Masa sayısı: 2 | Garson sayısı: 2 | Aşçı sayısı: 3 | Müşteri sayısı: 2 | Kazanç: -5
73) Masa sayısı: 2 | Garson sayısı: 2 | Aşçı sayısı: 4 | Müşteri sayısı: 2 | Kazanç: -6
74) Masa sayısı: 2 | Garson sayısı: 2 | Aşçı sayısı: 5 | Müşteri sayısı: 2 | Kazanç: -7
75) Masa sayısı: 2 | Garson sayısı: 2 | Aşçı sayısı: 6 | Müşteri sayısı: 2 | Kazanç: -8
76) Masa sayısı: 2 | Garson sayısı: 2 | Aşçı sayısı: 7 | Müşteri sayısı: 2 | Kazanç: -9
77) Masa sayısı: 2 | Garson sayısı: 3 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -4
78) Masa sayısı: 2 | Garson sayısı: 3 | Aşçı sayısı: 2 | Müşteri sayısı: 2 | Kazanç: -5
79) Masa sayısı: 2 | Garson sayısı: 3 | Aşçı sayısı: 3 | Müşteri sayısı: 2 | Kazanç: -6
80) Masa sayısı: 2 | Garson sayısı: 3 | Aşçı sayısı: 4 | Müşteri sayısı: 2 | Kazanç: -7
81) Masa sayısı: 2 | Garson sayısı: 3 | Aşçı sayısı: 5 | Müşteri sayısı: 2 | Kazanç: -8
82) Masa sayısı: 2 | Garson sayısı: 3 | Aşçı sayısı: 6 | Müşteri sayısı: 2 | Kazanç: -9
83) Masa sayısı: 2 | Garson sayısı: 4 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -5
84) Masa sayısı: 2 | Garson sayısı: 4 | Aşçı sayısı: 2 | Müşteri sayısı: 2 | Kazanç: -6
85) Masa sayısı: 2 | Garson sayısı: 4 | Aşçı sayısı: 3 | Müşteri sayısı: 2 | Kazanç: -7
86) Masa sayısı: 2 | Garson sayısı: 4 | Aşçı sayısı: 4 | Müşteri sayısı: 2 | Kazanç: -8
87) Masa sayısı: 2 | Garson sayısı: 4 | Aşçı sayısı: 5 | Müşteri sayısı: 2 | Kazanç: -9
88) Masa sayısı: 2 | Garson sayısı: 4 | Aşçı sayısı: 6 | Müşteri sayısı: 2 | Kazanç: -10
89) Masa sayısı: 2 | Garson sayısı: 5 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -6
90) Masa sayısı: 2 | Garson sayısı: 5 | Aşçı sayısı: 2 | Müşteri sayısı: 2 | Kazanç: -7
91) Masa sayısı: 2 | Garson sayısı: 5 | Aşçı sayısı: 3 | Müşteri sayısı: 2 | Kazanç: -8
92) Masa sayısı: 2 | Garson sayısı: 5 | Aşçı sayısı: 4 | Müşteri sayısı: 2 | Kazanç: -9
93) Masa sayısı: 2 | Garson sayısı: 5 | Aşçı sayısı: 5 | Müşteri sayısı: 2 | Kazanç: -10
94) Masa sayısı: 2 | Garson sayısı: 6 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -7
95) Masa sayısı: 2 | Garson sayısı: 6 | Aşçı sayısı: 2 | Müşteri sayısı: 2 | Kazanç: -8
96) Masa sayısı: 2 | Garson sayısı: 6 | Aşçı sayısı: 3 | Müşteri sayısı: 2 | Kazanç: -9
97) Masa sayısı: 2 | Garson sayısı: 6 | Aşçı sayısı: 4 | Müşteri sayısı: 2 | Kazanç: -10
98) Masa sayısı: 2 | Garson sayısı: 6 | Aşçı sayısı: 5 | Müşteri sayısı: 2 | Kazanç: -11
99) Masa sayısı: 2 | Garson sayısı: 7 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -8
100) Masa sayısı: 2 | Garson sayısı: 7 | Aşçı sayısı: 2 | Müşteri sayısı: 2 | Kazanç: -9
101) Masa sayısı: 2 | Garson sayısı: 7 | Aşçı sayısı: 3 | Müşteri sayısı: 2 | Kazanç: -10
102) Masa sayısı: 2 | Garson sayısı: 7 | Aşçı sayısı: 4 | Müşteri sayısı: 2 | Kazanç: -11
103) Masa sayısı: 2 | Garson sayısı: 8 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -9
104) Masa sayısı: 2 | Garson sayısı: 8 | Aşçı sayısı: 2 | Müşteri sayısı: 2 | Kazanç: -10
105) Masa sayısı: 2 | Garson sayısı: 8 | Aşçı sayısı: 3 | Müşteri sayısı: 2 | Kazanç: -11
106) Masa sayısı: 2 | Garson sayısı: 8 | Aşçı sayısı: 4 | Müşteri sayısı: 2 | Kazanç: -12
107) Masa sayısı: 2 | Garson sayısı: 9 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -10
108) Masa sayısı: 2 | Garson sayısı: 9 | Aşçı sayısı: 2 | Müşteri sayısı: 2 | Kazanç: -11
109) Masa sayısı: 2 | Garson sayısı: 9 | Aşçı sayısı: 3 | Müşteri sayısı: 2 | Kazanç: -12
110) Masa sayısı: 2 | Garson sayısı: 10 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -11
111) Masa sayısı: 2 | Garson sayısı: 10 | Aşçı sayısı: 2 | Müşteri sayısı: 2 | Kazanç: -12
112) Masa sayısı: 2 | Garson sayısı: 10 | Aşçı sayısı: 3 | Müşteri sayısı: 2 | Kazanç: -13
113) Masa sayısı: 2 | Garson sayısı: 11 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -12
114) Masa sayısı: 2 | Garson sayısı: 11 | Aşçı sayısı: 2 | Müşteri sayısı: 2 | Kazanç: -13
115) Masa sayısı: 2 | Garson sayısı: 12 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -13
116) Masa sayısı: 2 | Garson sayısı: 12 | Aşçı sayısı: 2 | Müşteri sayısı: 2 | Kazanç: -14
117) Masa sayısı: 2 | Garson sayısı: 13 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -14
118) Masa sayısı: 2 | Garson sayısı: 14 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -15
119) Masa sayısı: 3 | Garson sayısı: 1 | Aşçı sayısı: 1 | Müşteri sayısı: 1 | Kazanç: -4
120) Masa sayısı: 3 | Garson sayısı: 1 | Aşçı sayısı: 2 | Müşteri sayısı: 1 | Kazanç: -5
121) Masa sayısı: 3 | Garson sayısı: 1 | Aşçı sayısı: 3 | Müşteri sayısı: 1 | Kazanç: -6
122) Masa sayısı: 3 | Garson sayısı: 1 | Aşçı sayısı: 4 | Müşteri sayısı: 1 | Kazanç: -7
123) Masa sayısı: 3 | Garson sayısı: 1 | Aşçı sayısı: 5 | Müşteri sayısı: 1 | Kazanç: -8
124) Masa sayısı: 3 | Garson sayısı: 1 | Aşçı sayısı: 6 | Müşteri sayısı: 1 | Kazanç: -9
125) Masa sayısı: 3 | Garson sayısı: 1 | Aşçı sayısı: 7 | Müşteri sayısı: 1 | Kazanç: -10
126) Masa sayısı: 3 | Garson sayısı: 2 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -4
127) Masa sayısı: 3 | Garson sayısı: 2 | Aşçı sayısı: 2 | Müşteri sayısı: 2 | Kazanç: -5
128) Masa sayısı: 3 | Garson sayısı: 2 | Aşçı sayısı: 3 | Müşteri sayısı: 2 | Kazanç: -6
129) Masa sayısı: 3 | Garson sayısı: 2 | Aşçı sayısı: 4 | Müşteri sayısı: 2 | Kazanç: -7
130) Masa sayısı: 3 | Garson sayısı: 2 | Aşçı sayısı: 5 | Müşteri sayısı: 2 | Kazanç: -8
131) Masa sayısı: 3 | Garson sayısı: 2 | Aşçı sayısı: 6 | Müşteri sayısı: 2 | Kazanç: -9
132) Masa sayısı: 3 | Garson sayısı: 3 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -5
133) Masa sayısı: 3 | Garson sayısı: 3 | Aşçı sayısı: 2 | Müşteri sayısı: 3 | Kazanç: -5
134) Masa sayısı: 3 | Garson sayısı: 3 | Aşçı sayısı: 3 | Müşteri sayısı: 3 | Kazanç: -6
135) Masa sayısı: 3 | Garson sayısı: 3 | Aşçı sayısı: 4 | Müşteri sayısı: 3 | Kazanç: -7
136) Masa sayısı: 3 | Garson sayısı: 3 | Aşçı sayısı: 5 | Müşteri sayısı: 3 | Kazanç: -8
137) Masa sayısı: 3 | Garson sayısı: 3 | Aşçı sayısı: 6 | Müşteri sayısı: 3 | Kazanç: -9
138) Masa sayısı: 3 | Garson sayısı: 4 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -6
139) Masa sayısı: 3 | Garson sayısı: 4 | Aşçı sayısı: 2 | Müşteri sayısı: 3 | Kazanç: -6
140) Masa sayısı: 3 | Garson sayısı: 4 | Aşçı sayısı: 3 | Müşteri sayısı: 3 | Kazanç: -7
141) Masa sayısı: 3 | Garson sayısı: 4 | Aşçı sayısı: 4 | Müşteri sayısı: 3 | Kazanç: -8
142) Masa sayısı: 3 | Garson sayısı: 4 | Aşçı sayısı: 5 | Müşteri sayısı: 3 | Kazanç: -9
143) Masa sayısı: 3 | Garson sayısı: 5 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -7
144) Masa sayısı: 3 | Garson sayısı: 5 | Aşçı sayısı: 2 | Müşteri sayısı: 3 | Kazanç: -7
145) Masa sayısı: 3 | Garson sayısı: 5 | Aşçı sayısı: 3 | Müşteri sayısı: 3 | Kazanç: -8
146) Masa sayısı: 3 | Garson sayısı: 5 | Aşçı sayısı: 4 | Müşteri sayısı: 3 | Kazanç: -9
147) Masa sayısı: 3 | Garson sayısı: 5 | Aşçı sayısı: 5 | Müşteri sayısı: 3 | Kazanç: -10
148) Masa sayısı: 3 | Garson sayısı: 6 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -8
149) Masa sayısı: 3 | Garson sayısı: 6 | Aşçı sayısı: 2 | Müşteri sayısı: 3 | Kazanç: -8
150) Masa sayısı: 3 | Garson sayısı: 6 | Aşçı sayısı: 3 | Müşteri sayısı: 3 | Kazanç: -9
151) Masa sayısı: 3 | Garson sayısı: 6 | Aşçı sayısı: 4 | Müşteri sayısı: 3 | Kazanç: -10
152) Masa sayısı: 3 | Garson sayısı: 7 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -9
153) Masa sayısı: 3 | Garson sayısı: 7 | Aşçı sayısı: 2 | Müşteri sayısı: 3 | Kazanç: -9
154) Masa sayısı: 3 | Garson sayısı: 7 | Aşçı sayısı: 3 | Müşteri sayısı: 3 | Kazanç: -10
155) Masa sayısı: 3 | Garson sayısı: 7 | Aşçı sayısı: 4 | Müşteri sayısı: 3 | Kazanç: -11
156) Masa sayısı: 3 | Garson sayısı: 8 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -10
157) Masa sayısı: 3 | Garson sayısı: 8 | Aşçı sayısı: 2 | Müşteri sayısı: 3 | Kazanç: -10
158) Masa sayısı: 3 | Garson sayısı: 8 | Aşçı sayısı: 3 | Müşteri sayısı: 3 | Kazanç: -11
159) Masa sayısı: 3 | Garson sayısı: 9 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -11
160) Masa sayısı: 3 | Garson sayısı: 9 | Aşçı sayısı: 2 | Müşteri sayısı: 3 | Kazanç: -11
161) Masa sayısı: 3 | Garson sayısı: 9 | Aşçı sayısı: 3 | Müşteri sayısı: 3 | Kazanç: -12
162) Masa sayısı: 3 | Garson sayısı: 10 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -12
163) Masa sayısı: 3 | Garson sayısı: 10 | Aşçı sayısı: 2 | Müşteri sayısı: 3 | Kazanç: -12
164) Masa sayısı: 3 | Garson sayısı: 11 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -13
165) Masa sayısı: 3 | Garson sayısı: 11 | Aşçı sayısı: 2 | Müşteri sayısı: 3 | Kazanç: -13
166) Masa sayısı: 3 | Garson sayısı: 12 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -14
167) Masa sayısı: 3 | Garson sayısı: 13 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -15
168) Masa sayısı: 4 | Garson sayısı: 1 | Aşçı sayısı: 1 | Müşteri sayısı: 1 | Kazanç: -5
169) Masa sayısı: 4 | Garson sayısı: 1 | Aşçı sayısı: 2 | Müşteri sayısı: 1 | Kazanç: -6
170) Masa sayısı: 4 | Garson sayısı: 1 | Aşçı sayısı: 3 | Müşteri sayısı: 1 | Kazanç: -7
171) Masa sayısı: 4 | Garson sayısı: 1 | Aşçı sayısı: 4 | Müşteri sayısı: 1 | Kazanç: -8
172) Masa sayısı: 4 | Garson sayısı: 1 | Aşçı sayısı: 5 | Müşteri sayısı: 1 | Kazanç: -9
173) Masa sayısı: 4 | Garson sayısı: 1 | Aşçı sayısı: 6 | Müşteri sayısı: 1 | Kazanç: -10
174) Masa sayısı: 4 | Garson sayısı: 2 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -5
175) Masa sayısı: 4 | Garson sayısı: 2 | Aşçı sayısı: 2 | Müşteri sayısı: 2 | Kazanç: -6
176) Masa sayısı: 4 | Garson sayısı: 2 | Aşçı sayısı: 3 | Müşteri sayısı: 2 | Kazanç: -7
177) Masa sayısı: 4 | Garson sayısı: 2 | Aşçı sayısı: 4 | Müşteri sayısı: 2 | Kazanç: -8
178) Masa sayısı: 4 | Garson sayısı: 2 | Aşçı sayısı: 5 | Müşteri sayısı: 2 | Kazanç: -9
179) Masa sayısı: 4 | Garson sayısı: 2 | Aşçı sayısı: 6 | Müşteri sayısı: 2 | Kazanç: -10
180) Masa sayısı: 4 | Garson sayısı: 3 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -6
181) Masa sayısı: 4 | Garson sayısı: 3 | Aşçı sayısı: 2 | Müşteri sayısı: 3 | Kazanç: -6
182) Masa sayısı: 4 | Garson sayısı: 3 | Aşçı sayısı: 3 | Müşteri sayısı: 3 | Kazanç: -7
183) Masa sayısı: 4 | Garson sayısı: 3 | Aşçı sayısı: 4 | Müşteri sayısı: 3 | Kazanç: -8
184) Masa sayısı: 4 | Garson sayısı: 3 | Aşçı sayısı: 5 | Müşteri sayısı: 3 | Kazanç: -9
185) Masa sayısı: 4 | Garson sayısı: 4 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -7
186) Masa sayısı: 4 | Garson sayısı: 4 | Aşçı sayısı: 2 | Müşteri sayısı: 4 | Kazanç: -6
187) Masa sayısı: 4 | Garson sayısı: 4 | Aşçı sayısı: 3 | Müşteri sayısı: 4 | Kazanç: -7
188) Masa sayısı: 4 | Garson sayısı: 4 | Aşçı sayısı: 4 | Müşteri sayısı: 4 | Kazanç: -8
189) Masa sayısı: 4 | Garson sayısı: 4 | Aşçı sayısı: 5 | Müşteri sayısı: 4 | Kazanç: -9
190) Masa sayısı: 4 | Garson sayısı: 5 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -8
191) Masa sayısı: 4 | Garson sayısı: 5 | Aşçı sayısı: 2 | Müşteri sayısı: 4 | Kazanç: -7
192) Masa sayısı: 4 | Garson sayısı: 5 | Aşçı sayısı: 3 | Müşteri sayısı: 4 | Kazanç: -8
193) Masa sayısı: 4 | Garson sayısı: 5 | Aşçı sayısı: 4 | Müşteri sayısı: 4 | Kazanç: -9
194) Masa sayısı: 4 | Garson sayısı: 6 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -9
195) Masa sayısı: 4 | Garson sayısı: 6 | Aşçı sayısı: 2 | Müşteri sayısı: 4 | Kazanç: -8
196) Masa sayısı: 4 | Garson sayısı: 6 | Aşçı sayısı: 3 | Müşteri sayısı: 4 | Kazanç: -9
197) Masa sayısı: 4 | Garson sayısı: 6 | Aşçı sayısı: 4 | Müşteri sayısı: 4 | Kazanç: -10
198) Masa sayısı: 4 | Garson sayısı: 7 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -10
199) Masa sayısı: 4 | Garson sayısı: 7 | Aşçı sayısı: 2 | Müşteri sayısı: 4 | Kazanç: -9
200) Masa sayısı: 4 | Garson sayısı: 7 | Aşçı sayısı: 3 | Müşteri sayısı: 4 | Kazanç: -10
201) Masa sayısı: 4 | Garson sayısı: 8 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -11
202) Masa sayısı: 4 | Garson sayısı: 8 | Aşçı sayısı: 2 | Müşteri sayısı: 4 | Kazanç: -10
203) Masa sayısı: 4 | Garson sayısı: 8 | Aşçı sayısı: 3 | Müşteri sayısı: 4 | Kazanç: -11
204) Masa sayısı: 4 | Garson sayısı: 9 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -12
205) Masa sayısı: 4 | Garson sayısı: 9 | Aşçı sayısı: 2 | Müşteri sayısı: 4 | Kazanç: -11
206) Masa sayısı: 4 | Garson sayısı: 10 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -13
207) Masa sayısı: 4 | Garson sayısı: 10 | Aşçı sayısı: 2 | Müşteri sayısı: 4 | Kazanç: -12
208) Masa sayısı: 4 | Garson sayısı: 11 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -14
209) Masa sayısı: 4 | Garson sayısı: 12 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -15
210) Masa sayısı: 5 | Garson sayısı: 1 | Aşçı sayısı: 1 | Müşteri sayısı: 1 | Kazanç: -6
211) Masa sayısı: 5 | Garson sayısı: 1 | Aşçı sayısı: 2 | Müşteri sayısı: 1 | Kazanç: -7
212) Masa sayısı: 5 | Garson sayısı: 1 | Aşçı sayısı: 3 | Müşteri sayısı: 1 | Kazanç: -8
213) Masa sayısı: 5 | Garson sayısı: 1 | Aşçı sayısı: 4 | Müşteri sayısı: 1 | Kazanç: -9
214) Masa sayısı: 5 | Garson sayısı: 1 | Aşçı sayısı: 5 | Müşteri sayısı: 1 | Kazanç: -10
215) Masa sayısı: 5 | Garson sayısı: 1 | Aşçı sayısı: 6 | Müşteri sayısı: 1 | Kazanç: -11
216) Masa sayısı: 5 | Garson sayısı: 2 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -6
217) Masa sayısı: 5 | Garson sayısı: 2 | Aşçı sayısı: 2 | Müşteri sayısı: 2 | Kazanç: -7
