Simülasyon süresi: 50 sn
Müşteri gelme aralığı: 4 sn
Tek seferde gelen toplam müşteri sayısı: 5
Tek seferde gelen önemli müşteri sayısı: 5

Yapılan toplam hesaplama sayısı: 4109
1) Masa sayısı: 1 | Garson sayısı: 1 | Aşçı sayısı: 1 | Müşteri sayısı: 5 | Kazanç: 2
46) Masa sayısı: 1 | Garson sayısı: 7 | Aşçı sayısı: 4 | Müşteri sayısı: 5 | Kazanç: -7
47) Masa sayısı: 1 | Garson sayısı: 7 | Aşçı sayısı: 5 | Müşteri sayısı: 5 | Kazanç: -8
48) Masa sayısı: 1 | Garson sayısı: 7 | Aşçı sayısı: 6 | Müşteri sayısı: 5 | Kazanç: -9
49) Masa sayısı: 1 | Garson sayısı: 7 | Aşçı sayısı: 7 | Müşteri sayısı: 5 | Kazanç: -10
50) Masa sayısı: 1 | Garson sayısı: 8 | Aşçı sayısı: 1 | Müşteri sayısı: 5 | Kazanç: -5
51) Masa sayısı: 1 | Garson sayısı: 8 | Aşçı sayısı: 2 | Müşteri sayısı: 5 | Kazanç: -6
52) Masa sayısı: 1 | Garson sayısı: 8 | Aşçı sayısı: 3 | Müşteri sayısı: 5 | Kazanç: -7
53) Masa sayısı: 1 | Garson sayısı: 8 | Aşçı sayısı: 4 | Müşteri sayısı: 5 | Kazanç: -8
54) Masa sayısı: 1 | Garson sayısı: 8 | Aşçı sayısı: 5 | Müşteri sayısı: 5 | Kazanç: -9
55) Masa sayısı: 1 | Garson sayısı: 8 | Aşçı sayısı: 6 | Müşteri sayısı: 5 | Kazanç: -10
56) Masa sayısı: 1 | Garson sayısı: 8 | Aşçı sayısı: 7 | Müşteri sayısı: 5 | Kazanç: -11
57) Masa sayısı: 1 | Garson sayısı: 9 | Aşçı sayısı: 1 | Müşteri sayısı: 5 | Kazanç: -6
58) Masa sayısı: 1 | Garson sayısı: 9 | Aşçı sayısı: 2 | Müşteri sayısı: 5 | Kazanç: -7
59) Masa sayısı: 1 | Garson sayısı: 9 | Aşçı sayısı: 3 | Müşteri sayısı: 5 | Kazanç: -8
60) Masa sayısı: 1 | Garson sayısı: 9 | Aşçı sayısı: 4 | Müşteri sayısı: 5 | Kazanç: -9
61) Masa sayısı: 1 | Garson sayısı: 9 | Aşçı sayısı: 5 | Müşteri sayısı: 5 | Kazanç: -10
62) Masa sayısı: 1 | Garson sayısı: 9 | Aşçı sayısı: 6 | Müşteri sayısı: 5 | Kazanç: -11
63) Masa sayısı: 1 | Garson sayısı: 9 | Aşçı sayısı: 7 | Müşteri sayısı: 5 | Kazanç: -12
64) Masa sayısı: 1 | Garson sayısı: 10 | Aşçı sayısı: 1 | Müşteri sayısı: 5 | Kazanç: -7
65) Masa sayısı: 1 | Garson sayısı: 10 | Aşçı sayısı: 2 | Müşteri sayısı: 5 | Kazanç: -8
66) Masa sayısı: 1 | Garson sayısı: 10 | Aşçı sayısı: 3 | Müşteri sayısı: 5 | Kazanç: -9
67) Masa sayısı: 1 | Garson sayısı: 10 | Aşçı sayısı: 4 | Müşteri sayısı: 5 | Kazanç: -10
68) Masa sayısı: 1 | Garson sayısı: 10 | Aşçı sayısı: 5 | Müşteri sayısı: 5 | Kazanç: -11
69) Masa sayısı: 1 | Garson sayısı: 10 | Aşçı sayısı: 6 | Müşteri sayısı: 5 | Kazanç: -12
70) Masa sayısı: 1 | Garson sayısı: 10 | Aşçı sayısı: 7 | Müşteri sayısı: 5 | Kazanç: -13
71) Masa sayısı: 1 | Garson sayısı: 11 | Aşçı sayısı: 1 | Müşteri sayısı: 5 | Kazanç: -8
72) Masa sayısı: 1 | Garson sayısı: 11 | Aşçı sayısı: 2 | Müşteri sayısı: 5 | Kazanç: -9
73) Masa sayısı: 1 | Garson sayısı: 11 | Aşçı sayısı: 3 | Müşteri sayısı: 5 | Kazanç: -10
74) Masa sayısı: 1 | Garson sayısı: 11 | Aşçı sayısı: 4 | Müşteri sayısı: 5 | Kazanç: -11
75) Masa sayısı: 1 | Garson sayısı: 11 | Aşçı sayısı: 5 | Müşteri sayısı: 5 | Kazanç: -12
76) Masa sayısı: 1 | Garson sayısı: 11 | Aşçı sayısı: 6 | Müşteri sayısı: 5 | Kazanç: -13
77) Masa sayısı: 1 | Garson sayısı: 11 | Aşçı sayısı: 7 | Müşteri sayısı: 5 | Kazanç: -14
78) Masa sayısı: 1 | Garson sayısı: 12 | Aşçı sayısı: 1 | Müşteri sayısı: 5 | Kazanç: -9
79) Masa sayısı: 1 | Garson sayısı: 12 | Aşçı sayısı: 2 | Müşteri sayısı: 5 | Kazanç: -10
80) Masa sayısı: 1 | Garson sayısı: 12 | Aşçı sayısı: 3 | Müşteri sayısı: 5 | Kazanç: -11
81) Masa sayısı: 1 | Garson sayısı: 12 | Aşçı sayısı: 4 | Müşteri sayısı: 5 | Kazanç: -12
82) Masa sayısı: 1 | Garson sayısı: 12 | Aşçı sayısı: 5 | Müşteri sayısı: 5 | Kazanç: -13
83) Masa sayısı: 1 | Garson sayısı: 12 | Aşçı sayısı: 6 | Müşteri sayısı: 5 | Kazanç: -14
84) Masa sayısı: 1 | Garson sayısı: 12 | Aşçı sayısı: 7 | Müşteri sayısı: 5 | Kazanç: -15
85) Masa sayısı: 1 | Garson sayısı: 13 | Aşçı sayısı: 1 | Müşteri sayısı: 5 | Kazanç: -10
86) Masa sayısı: 1 | Garson sayısı: 13 | Aşçı sayısı: 2 | Müşteri sayısı: 5 | Kazanç: -11
87) Masa sayısı: 1 | Garson sayısı: 13 | Aşçı sayısı: 3 | Müşteri sayısı: 5 | Kazanç: -12
88) Masa sayısı: 1 | Garson sayısı: 13 | Aşçı sayısı: 4 | Müşteri sayısı: 5 | Kazanç: -13
89) Masa sayısı: 1 | Garson sayısı: 13 | Aşçı sayısı: 5 | Müşteri sayısı: 5 | Kazanç: -14
90) Masa sayısı: 1 | Garson sayısı: 13 | Aşçı sayısı: 6 | Müşteri sayısı: 5 | Kazanç: -15
91) Masa sayısı: 1 | Garson sayısı: 13 | Aşçı sayısı: 7 | Müşteri sayısı: 5 | Kazanç: -16
92) Masa sayısı: 1 | Garson sayısı: 14 | Aşçı sayısı: 1 | Müşteri sayısı: 5 | Kazanç: -11
93) Masa sayısı: 1 | Garson sayısı: 14 | Aşçı sayısı: 2 | Müşteri sayısı: 5 | Kazanç: -12
94) Masa sayısı: 1 | Garson sayısı: 14 | Aşçı sayısı: 3 | Müşteri sayısı: 5 | Kazanç: -13
95) Masa sayısı: 1 | Garson sayısı: 14 | Aşçı sayısı: 4 | Müşteri sayısı: 5 | Kazanç: -14
96) Masa sayısı: 1 | Garson sayısı: 14 | Aşçı sayısı: 5 | Müşteri sayısı: 5 | Kazanç: -15
97) Masa sayısı: 1 | Garson sayısı: 14 | Aşçı sayısı: 6 | Müşteri sayısı: 5 | Kazanç: -16
98) Masa sayısı: 1 | Garson sayısı: 14 | Aşçı sayısı: 7 | Müşteri sayısı: 5 | Kazanç: -17
99) Masa sayısı: 2 | Garson sayısı: 1 | Aşçı sayısı: 1 | Müşteri sayısı: 13 | Kazanç: 9
100) Masa sayısı: 2 | Garson sayısı: 1 | Aşçı sayısı: 2 | Müşteri sayısı: 13 | Kazanç: 8
101) Masa sayısı: 2 | Garson sayısı: 1 | Aşçı sayısı: 3 | Müşteri sayısı: 13 | Kazanç: 7
102) Masa sayısı: 2 | Garson sayısı: 1 | Aşçı sayısı: 4 | Müşteri sayısı: 13 | Kazanç: 6
103) Masa sayısı: 2 | Garson sayısı: 1 | Aşçı sayısı: 5 | Müşteri sayısı: 13 | Kazanç: 5
104) Masa sayısı: 2 | Garson sayısı: 1 | Aşçı sayısı: 6 | Müşteri sayısı: 13 | Kazanç: 4
105) Masa sayısı: 2 | Garson sayısı: 1 | Aşçı sayısı: 7 | Müşteri sayısı: 13 | Kazanç: 3
106) Masa sayısı: 2 | Garson sayısı: 2 | Aşçı sayısı: 1 | Müşteri sayısı: 10 | Kazanç: 5
107) Masa sayısı: 2 | Garson sayısı: 2 | Aşçı sayısı: 2 | Müşteri sayısı: 10 | Kazanç: 4
108) Masa sayısı: 2 | Garson sayısı: 2 | Aşçı sayısı: 3 | Müşteri sayısı: 10 | Kazanç: 3
109) Masa sayısı: 2 | Garson sayısı: 2 | Aşçı sayısı: 4 | Müşteri sayısı: 10 | Kazanç: 2
110) Masa sayısı: 2 | Garson sayısı: 2 | Aşçı sayısı: 5 | Müşteri sayısı: 10 | Kazanç: 1
111) Masa sayısı: 2 | Garson sayısı: 2 | Aşçı sayısı: 6 | Müşteri sayısı: 10 | Kazanç: 0
112) Masa sayısı: 2 | Garson sayısı: 2 | Aşçı sayısı: 7 | Müşteri sayısı: 10 | Kazanç: -1
113) Masa sayısı: 2 | Garson sayısı: 3 | Aşçı sayısı: 1 | Müşteri sayısı: 10 | Kazanç: 4
114) Masa sayısı: 2 | Garson sayısı: 3 | Aşçı sayısı: 2 | Müşteri sayısı: 10 | Kazanç: 3
115) Masa sayısı: 2 | Garson sayısı: 3 | Aşçı sayısı: 3 | Müşteri sayısı: 10 | Kazanç: 2
116) Masa sayısı: 2 | Garson sayısı: 3 | Aşçı sayısı: 4 | Müşteri sayısı: 10 | Kazanç: 1
117) Masa sayısı: 2 | Garson sayısı: 3 | Aşçı sayısı: 5 | Müşteri sayısı: 10 | Kazanç: 0
118) Masa sayısı: 2 | Garson sayısı: 3 | Aşçı sayısı: 6 | Müşteri sayısı: 10 | Kazanç: -1
119) Masa sayısı: 2 | Garson sayısı: 3 | Aşçı sayısı: 7 | Müşteri sayısı: 10 | Kazanç: -2
120) Masa sayısı: 2 | Garson sayısı: 4 | Aşçı sayısı: 1 | Müşteri sayısı: 10 | Kazanç: 3
121) Masa sayısı: 2 | Garson sayısı: 4 | Aşçı sayısı: 2 | Müşteri sayısı: 10 | Kazanç: 2
122) Masa sayısı: 2 | Garson sayısı: 4 | Aşçı sayısı: 3 | Müşteri sayısı: 10 | Kazanç: 1
123) Masa sayısı: 2 | Garson sayısı: 4 | Aşçı sayısı: 4 | Müşteri sayısı: 10 | Kazanç: 0
124) Masa sayısı: 2 | Garson sayısı: 4 | Aşçı sayısı: 5 | Müşteri sayısı: 10 | Kazanç: -1
125) Masa sayısı: 2 | Garson sayısı: 4 | Aşçı sayısı: 6 | Müşteri sayısı: 10 | Kazanç: -2
126) Masa sayısı: 2 | Garson sayısı: 4 | Aşçı sayısı: 7 | Müşteri sayısı: 10 | Kazanç: -3
127) Masa sayısı: 2 | Garson sayısı: 5 | Aşçı sayısı: 1 | Müşteri sayısı: 10 | Kazanç: 2
128) Masa sayısı: 2 | Garson sayısı: 5 | Aşçı sayısı: 2 | Müşteri sayısı: 10 | Kazanç: 1
129) Masa sayısı: 2 | Garson sayısı: 5 | Aşçı sayısı: 3 | Müşteri sayısı: 10 | Kazanç: 0
130) Masa sayısı: 2 | Garson sayısı: 5 | Aşçı sayısı: 4 | Müşteri sayısı: 10 | Kazanç: -1
131) Masa sayısı: 2 | Garson sayısı: 5 | Aşçı sayısı: 5 | Müşteri sayısı: 10 | Kazanç: -2
132) Masa sayısı: 2 | Garson sayısı: 5 | Aşçı sayısı: 6 | Müşteri sayısı: 10 | Kazanç: -3
133) Masa sayısı: 2 | Garson sayısı: 5 | Aşçı sayısı: 7 | Müşteri sayısı: 10 | Kazanç: -4
134) Masa sayısı: 2 | Garson sayısı: 6 | Aşçı sayısı: 1 | Müşteri sayısı: 10 | Kazanç: 1
135) Masa sayısı: 2 | Garson sayısı: 6 | Aşçı sayısı: 2 | Müşteri sayısı: 10 | Kazanç: 0
136) Masa sayısı: 2 | Garson sayısı: 6 | Aşçı sayısı: 3 | Müşteri sayısı: 10 | Kazanç: -1
137) Masa sayısı: 2 | Garson sayısı: 6 | Aşçı sayısı: 4 | Müşteri sayısı: 10 | Kazanç: -2
138) Masa sayısı: 2 | Garson sayısı: 6 | Aşçı sayısı: 5 | Müşteri sayısı: 10 | Kazanç: -3
139) Masa sayısı: 2 | Garson sayısı: 6 | Aşçı sayısı: 6 | Müşteri sayısı: 10 | Kazanç: -4
140) Masa sayısı: 2 | Garson sayısı: 6 | Aşçı sayısı: 7 | Müşteri sayısı: 10 | Kazanç: -5
141) Masa sayısı: 2 | Garson sayısı: 7 | Aşçı sayısı: 1 | Müşteri sayısı: 10 | Kazanç: 0
142) Masa sayısı: 2 | Garson sayısı: 7 | Aşçı sayısı: 2 | Müşteri sayısı: 10 | Kazanç: -1
143) Masa sayısı: 2 | Garson sayısı: 7 | Aşçı sayısı: 3 | Müşteri sayısı: 10 | Kazanç: -2
144) Masa sayısı: 2 | Garson sayısı: 7 | Aşçı sayısı: 4 | Müşteri sayısı: 10 | Kazanç: -3
145) Masa sayısı: 2 | Garson sayısı: 7 | Aşçı sayısı: 5 | Müşteri sayısı: 10 | Kazanç: -4
146) Masa sayısı: 2 | Garson sayısı: 7 | Aşçı sayısı: 6 | Müşteri sayısı: 10 | Kazanç: -5
147) Masa sayısı: 2 | Garson sayısı: 7 | Aşçı sayısı: 7 | Müşteri sayısı: 10 | Kazanç: -6
148) Masa sayısı: 2 | Garson sayısı: 8 | Aşçı sayısı: 1 | Müşteri sayısı: 10 | Kazanç: -1
149) Masa sayısı: 2 | Garson sayısı: 8 | Aşçı sayısı: 2 | Müşteri sayısı: 10 | Kazanç: -2
150) Masa sayısı: 2 | Garson sayısı: 8 | Aşçı sayısı: 3 | Müşteri sayısı: 10 | Kazanç: -3
151) Masa sayısı: 2 | Garson sayısı: 8 | Aşçı sayısı: 4 | Müşteri sayısı: 10 | Kazanç: -4
152) Masa sayısı: 2 | Garson sayısı: 8 | Aşçı sayısı: 5 | Müşteri sayısı: 10 | Kazanç: -5
153) Masa sayısı: 2 | Garson sayısı: 8 | Aşçı sayısı: 6 | Müşteri sayısı: 10 | Kazanç: -6
154) Masa sayısı: 2 | Garson sayısı: 8 | Aşçı sayısı: 7 | Müşteri sayısı: 10 | Kazanç: -7
155) Masa sayısı: 2 | Garson sayısı: 9 | Aşçı sayısı: 1 | Müşteri sayısı: 10 | Kazanç: -2
156) Masa sayısı: 2 | Garson sayısı: 9 | Aşçı sayısı: 2 | Müşteri sayısı: 10 | Kazanç: -3
157) Masa sayısı: 2 | Garson sayısı: 9 | Aşçı sayısı: 3 | Müşteri sayısı: 10 | Kazanç: -4
158) Masa sayısı: 2 | Garson sayısı: 9 | Aşçı sayısı: 4 | Müşteri sayısı: 10 | Kazanç: -5
159) Masa sayısı: 2 | Garson sayısı: 9 | Aşçı sayısı: 5 | Müşteri sayısı: 10 | Kazanç: -6
160) Masa sayısı: 2 | Garson sayısı: 9 | Aşçı sayısı: 6 | Müşteri sayısı: 10 | Kazanç: -7
161) Masa sayısı: 2 | Garson sayısı: 9 | Aşçı sayısı: 7 | Müşteri sayısı: 10 | Kazanç: -8
162) Masa sayısı: 2 | Garson sayısı: 10 | Aşçı sayısı: 1 | Müşteri sayısı: 10 | Kazanç: -3
163) Masa sayısı: 2 | Garson sayısı: 10 | Aşçı sayısı: 2 | Müşteri sayısı: 10 | Kazanç: -4
164) Masa sayısı: 2 | Garson sayısı: 10 | Aşçı sayısı: 3 | Müşteri sayısı: 10 | Kazanç: -5
165) Masa sayısı: 2 | Garson sayısı: 10 | Aşçı sayısı: 4 | Müşteri sayısı: 10 | Kazanç: -6
166) Masa sayısı: 2 | Garson sayısı: 10 | Aşçı sayısı: 5 | Müşteri sayısı: 10 | Kazanç: -7
167) Masa sayısı: 2 | Garson sayısı: 10 | Aşçı sayısı: 6 | Müşteri sayısı: 10 | Kazanç: -8
168) Masa sayısı: 2 | Garson sayısı: 10 | Aşçı sayısı: 7 | Müşteri sayısı: 10 | Kazanç: -9
169) Masa sayısı: 2 | Garson sayısı: 11 | Aşçı sayısı: 1 | Müşteri sayısı: 10 | Kazanç: -4
170) Masa sayısı: 2 | Garson sayısı: 11 | Aşçı sayısı: 2 | Müşteri sayısı: 10 | Kazanç: -5
171) Masa sayısı: 2 | Garson sayısı: 11 | Aşçı sayısı: 3 | Müşteri sayısı: 10 | Kazanç: -6
172) Masa sayısı: 2 | Garson sayısı: 11 | Aşçı sayısı: 4 | Müşteri sayısı: 10 | Kazanç: -7
173) Masa sayısı: 2 | Garson sayısı: 11 | Aşçı sayısı: 5 | Müşteri sayısı: 10 | Kazanç: -8
174) Masa sayısı: 2 | Garson sayısı: 11 | Aşçı sayısı: 6 | Müşteri sayısı: 10 | Kazanç: -9
175) Masa sayısı: 2 | Garson sayısı: 11 | Aşçı sayısı: 7 | Müşteri sayısı: 10 | Kazanç: -10
176) Masa sayısı: 2 | Garson sayısı: 12 | Aşçı sayısı: 1 | Müşteri sayısı: 10 | Kazanç: -5
177) Masa sayısı: 2 | Garson sayısı: 12 | Aşçı sayısı: 2 | Müşteri sayısı: 10 | Kazanç: -6
178) Masa sayısı: 2 | Garson sayısı: 12 | Aşçı sayısı: 3 | Müşteri sayısı: 10 | Kazanç: -7
179) Masa sayısı: 2 | Garson sayısı: 12 | Aşçı sayısı: 4 | Müşteri sayısı: 10 | Kazanç: -8
180) Masa sayısı: 2 | Garson sayısı: 12 | Aşçı sayısı: 5 | Müşteri sayısı: 10 | Kazanç: -9
181) Masa sayısı: 2 | Garson sayısı: 12 | Aşçı sayısı: 6 | Müşteri sayısı: 10 | Kazanç: -10
182) Masa sayısı: 2 | Garson sayısı: 12 | Aşçı sayısı: 7 | Müşteri sayısı: 10 | Kazanç: -11
183) Masa sayısı: 2 | Garson sayısı: 13 | Aşçı sayısı: 1 | Müşteri sayısı: 10 | Kazanç: -6
184) Masa sayısı: 2 | Garson sayısı: 13 | Aşçı sayısı: 2 | Müşteri sayısı: 10 | Kazanç: -7
185) Masa sayısı: 2 | Garson sayısı: 13 | Aşçı sayısı: 3 | Müşteri sayısı: 10 | Kazanç: -8
186) Masa sayısı: 2 | Garson sayısı: 13 | Aşçı sayısı: 4 | Müşteri sayısı: 10 | Kazanç: -9
187) Masa sayısı: 2 | Garson sayısı: 13 | Aşçı sayısı: 5 | Müşteri sayısı: 10 | Kazanç: -10
188) Masa sayısı: 2 | Garson sayısı: 13 | Aşçı sayısı: 6 | Müşteri sayısı: 10 | Kazanç: -11
189) Masa sayısı: 2 | Garson sayısı: 13 | Aşçı sayısı: 7 | Müşteri sayısı: 10 | Kazanç: -12
190) Masa sayısı: 2 | Garson sayısı: 14 | Aşçı sayısı: 1 | Müşteri sayısı: 10 | Kazanç: -7
191) Masa sayısı: 2 | Garson sayısı: 14 | Aşçı sayısı: 2 | Müşteri sayısı: 10 | Kazanç: -8
192) Masa sayısı: 2 | Garson sayısı: 14 | Aşçı sayısı: 3 | Müşteri sayısı: 10 | Kazanç: -9
193) Masa sayısı: 2 | Garson sayısı: 14 | Aşçı sayısı: 4 | Müşteri sayısı: 10 | Kazanç: -10
194) Masa sayısı: 2 | Garson sayısı: 14 | Aşçı sayısı: 5 | Müşteri sayısı: 10 | Kazanç: -11
195) Masa sayısı: 2 | Garson sayısı: 14 | Aşçı sayısı: 6 | Müşteri sayısı: 10 | Kazanç: -12
196) Masa sayısı: 2 | Garson sayısı: 14 | Aşçı sayısı: 7 | Müşteri sayısı: 10 | Kazanç: -13
197) Masa sayısı: 3 | Garson sayısı: 1 | Aşçı sayısı: 1 | Müşteri sayısı: 14 | Kazanç: 9
198) Masa sayısı: 3 | Garson sayısı: 1 | Aşçı sayısı: 2 | Müşteri sayısı: 14 | Kazanç: 8
199) Masa sayısı: 3 | Garson sayısı: 1 | Aşçı sayısı: 3 | Müşteri sayısı: 14 | Kazanç: 7
200) Masa sayısı: 3 | Garson sayısı: 1 | Aşçı sayısı: 4 | Müşteri sayısı: 14 | Kazanç: 6
201) Masa sayısı: 3 | Garson sayısı: 1 | Aşçı sayısı: 5 | Müşteri sayısı: 14 | Kazanç: 5
202) Masa sayısı: 3 | Garson sayısı: 1 | Aşçı sayısı: 6 | Müşteri sayısı: 14 | Kazanç: 4
203) Masa sayısı: 3 | Garson sayısı: 1 | Aşçı sayısı: 7 | Müşteri sayısı: 14 | Kazanç: 3
204) Masa sayısı: 3 | Garson sayısı: 2 | Aşçı sayısı: 1 | Müşteri sayısı: 19 | Kazanç: 13
205) Masa sayısı: 3 | Garson sayısı: 2 | Aşçı sayısı: 2 | Müşteri sayısı: 23 | Kazanç: 16
206) Masa sayısı: 3 | Garson sayısı: 2 | Aşçı sayısı: 3 | Müşteri sayısı: 23 | Kazanç: 15
207) Masa sayısı: 3 | Garson sayısı: 2 | Aşçı sayısı: 4 | Müşteri sayısı: 23 | Kazanç: 14
208) Masa sayısı: 3 | Garson sayısı: 2 | Aşçı sayısı: 5 | Müşteri sayısı: 23 | Kazanç: 13
209) Masa sayısı: 3 | Garson sayısı: 2 | Aşçı sayısı: 6 | Müşteri sayısı: 23 | Kazanç: 12
210) Masa sayısı: 3 | Garson sayısı: 2 | Aşçı sayısı: 7 | Müşteri sayısı: 23 | Kazanç: 11
211) Masa sayısı: 3 | Garson sayısı: 3 | Aşçı sayısı: 1 | Müşteri sayısı: 19 | Kazanç: 12
212) Masa sayısı: 3 | Garson sayısı: 3 | Aşçı sayısı: 2 | Müşteri sayısı: 15 | Kazanç: 7
213) Masa sayısı: 3 | Garson sayısı: 3 | Aşçı sayısı: 3 | Müşteri sayısı: 15 | Kazanç: 6
214) Masa sayısı: 3 | Garson sayısı: 3 | Aşçı sayısı: 4 | Müşteri sayısı: 15 | Kazanç: 5
215) Masa sayısı: 3 | Garson sayısı: 3 | Aşçı sayısı: 5 | Müşteri sayısı: 15 | Kazanç: 4
216) Masa sayısı: 3 | Garson sayısı: 3 | Aşçı sayısı: 6 | Müşteri sayısı: 15 | Kazanç: 3
217) Masa sayısı: 3 | Garson sayısı: 3 | Aşçı sayısı: 7 | Müşteri sayısı: 15 | Kazanç: 2
