Simülasyon süresi: 200 sn
Müşteri gelme aralığı: 5 sn
Tek seferde gelen toplam müşteri sayısı: 9
Tek seferde gelen önemli müşteri sayısı: 9

Yapılan toplam hesaplama sayısı: 4312
1) Masa sayısı: 1 | Garson sayısı: 1 | Aşçı sayısı: 1 | Müşteri sayısı: 20 | Kazanç: 17
35) Masa sayısı: 1 | Garson sayısı: 5 | Aşçı sayısı: 7 | Müşteri sayısı: 20 | Kazanç: 7
36) Masa sayısı: 1 | Garson sayısı: 6 | Aşçı sayısı: 1 | Müşteri sayısı: 20 | Kazanç: 12
37) Masa sayısı: 1 | Garson sayısı: 6 | Aşçı sayısı: 2 | Müşteri sayısı: 20 | Kazanç: 11
38) Masa sayısı: 1 | Garson sayısı: 6 | Aşçı sayısı: 3 | Müşteri sayısı: 20 | Kazanç: 10
39) Masa sayısı: 1 | Garson sayısı: 6 | Aşçı sayısı: 4 | Müşteri sayısı: 20 | Kazanç: 9
40) Masa sayısı: 1 | Garson sayısı: 6 | Aşçı sayısı: 5 | Müşteri sayısı: 20 | Kazanç: 8
41) Masa sayısı: 1 | Garson sayısı: 6 | Aşçı sayısı: 6 | Müşteri sayısı: 20 | Kazanç: 7
42) Masa sayısı: 1 | Garson sayısı: 6 | Aşçı sayısı: 7 | Müşteri sayısı: 20 | Kazanç: 6
43) Masa sayısı: 1 | Garson sayısı: 7 | Aşçı sayısı: 1 | Müşteri sayısı: 20 | Kazanç: 11
44) Masa sayısı: 1 | Garson sayısı: 7 | Aşçı sayısı: 2 | Müşteri sayısı: 20 | Kazanç: 10
45) Masa sayısı: 1 | Garson sayısı: 7 | Aşçı sayısı: 3 | Müşteri sayısı: 20 | Kazanç: 9
46) Masa sayısı: 1 | Garson sayısı: 7 | Aşçı sayısı: 4 | Müşteri sayısı: 20 | Kazanç: 8
47) Masa sayısı: 1 | Garson sayısı: 7 | Aşçı sayısı: 5 | Müşteri sayısı: 20 | Kazanç: 7
48) Masa sayısı: 1 | Garson sayısı: 7 | Aşçı sayısı: 6 | Müşteri sayısı: 20 | Kazanç: 6
49) Masa sayısı: 1 | Garson sayısı: 7 | Aşçı sayısı: 7 | Müşteri sayısı: 20 | Kazanç: 5
50) Masa sayısı: 1 | Garson sayısı: 8 | Aşçı sayısı: 1 | Müşteri sayısı: 20 | Kazanç: 10
51) Masa sayısı: 1 | Garson sayısı: 8 | Aşçı sayısı: 2 | Müşteri sayısı: 20 | Kazanç: 9
52) Masa sayısı: 1 | Garson sayısı: 8 | Aşçı sayısı: 3 | Müşteri sayısı: 20 | Kazanç: 8
53) Masa sayısı: 1 | Garson sayısı: 8 | Aşçı sayısı: 4 | Müşteri sayısı: 20 | Kazanç: 7
54) Masa sayısı: 1 | Garson sayısı: 8 | Aşçı sayısı: 5 | Müşteri sayısı: 20 | Kazanç: 6
55) Masa sayısı: 1 | Garson sayısı: 8 | Aşçı sayısı: 6 | Müşteri sayısı: 20 | Kazanç: 5
56) Masa sayısı: 1 | Garson sayısı: 8 | Aşçı sayısı: 7 | Müşteri sayısı: 20 | Kazanç: 4
57) Masa sayısı: 1 | Garson sayısı: 9 | Aşçı sayısı: 1 | Müşteri sayısı: 20 | Kazanç: 9
58) Masa sayısı: 1 | Garson sayısı: 9 | Aşçı sayısı: 2 | Müşteri sayısı: 20 | Kazanç: 8
59) Masa sayısı: 1 | Garson sayısı: 9 | Aşçı sayısı: 3 | Müşteri sayısı: 20 | Kazanç: 7
60) Masa sayısı: 1 | Garson sayısı: 9 | Aşçı sayısı: 4 | Müşteri sayısı: 20 | Kazanç: 6
61) Masa sayısı: 1 | Garson sayısı: 9 | Aşçı sayısı: 5 | Müşteri sayısı: 20 | Kazanç: 5
62) Masa sayısı: 1 | Garson sayısı: 9 | Aşçı sayısı: 6 | Müşteri sayısı: 20 | Kazanç: 4
63) Masa sayısı: 1 | Garson sayısı: 9 | Aşçı sayısı: 7 | Müşteri sayısı: 20 | Kazanç: 3
64) Masa sayısı: 1 | Garson sayısı: 10 | Aşçı sayısı: 1 | Müşteri sayısı: 20 | Kazanç: 8
65) Masa sayısı: 1 | Garson sayısı: 10 | Aşçı sayısı: 2 | Müşteri sayısı: 20 | Kazanç: 7
66) Masa sayısı: 1 | Garson sayısı: 10 | Aşçı sayısı: 3 | Müşteri sayısı: 20 | Kazanç: 6
67) Masa sayısı: 1 | Garson sayısı: 10 | Aşçı sayısı: 4 | Müşteri sayısı: 20 | Kazanç: 5
68) Masa sayısı: 1 | Garson sayısı: 10 | Aşçı sayısı: 5 | Müşteri sayısı: 20 | Kazanç: 4
69) Masa sayısı: 1 | Garson sayısı: 10 | Aşçı sayısı: 6 | Müşteri sayısı: 20 | Kazanç: 3
70) Masa sayısı: 1 | Garson sayısı: 10 | Aşçı sayısı: 7 | Müşteri sayısı: 20 | Kazanç: 2
71) Masa sayısı: 1 | Garson sayısı: 11 | Aşçı sayısı: 1 | Müşteri sayısı: 20 | Kazanç: 7
72) Masa sayısı: 1 | Garson sayısı: 11 | Aşçı sayısı: 2 | Müşteri sayısı: 20 | Kazanç: 6
73) Masa sayısı: 1 | Garson sayısı: 11 | Aşçı sayısı: 3 | Müşteri sayısı: 20 | Kazanç: 5
74) Masa sayısı: 1 | Garson sayısı: 11 | Aşçı sayısı: 4 | Müşteri sayısı: 20 | Kazanç: 4
75) Masa sayısı: 1 | Garson sayısı: 11 | Aşçı sayısı: 5 | Müşteri sayısı: 20 | Kazanç: 3
76) Masa sayısı: 1 | Garson sayısı: 11 | Aşçı sayısı: 6 | Müşteri sayısı: 20 | Kazanç: 2
77) Masa sayısı: 1 | Garson sayısı: 11 | Aşçı sayısı: 7 | Müşteri sayısı: 20 | Kazanç: 1
78) Masa sayısı: 1 | Garson sayısı: 12 | Aşçı sayısı: 1 | Müşteri sayısı: 20 | Kazanç: 6
79) Masa sayısı: 1 | Garson sayısı: 12 | Aşçı sayısı: 2 | Müşteri sayısı: 20 | Kazanç: 5
80) Masa sayısı: 1 | Garson sayısı: 12 | Aşçı sayısı: 3 | Müşteri sayısı: 20 | Kazanç: 4
81) Masa sayısı: 1 | Garson sayısı: 12 | Aşçı sayısı: 4 | Müşteri sayısı: 20 | Kazanç: 3
82) Masa sayısı: 1 | Garson sayısı: 12 | Aşçı sayısı: 5 | Müşteri sayısı: 20 | Kazanç: 2
83) Masa sayısı: 1 | Garson sayısı: 12 | Aşçı sayısı: 6 | Müşteri sayısı: 20 | Kazanç: 1
84) Masa sayısı: 1 | Garson sayısı: 12 | Aşçı sayısı: 7 | Müşteri sayısı: 20 | Kazanç: 0
85) Masa sayısı: 1 | Garson sayısı: 13 | Aşçı sayısı: 1 | Müşteri sayısı: 20 | Kazanç: 5
86) Masa sayısı: 1 | Garson sayısı: 13 | Aşçı sayısı: 2 | Müşteri sayısı: 20 | Kazanç: 4
87) Masa sayısı: 1 | Garson sayısı: 13 | Aşçı sayısı: 3 | Müşteri sayısı: 20 | Kazanç: 3
88) Masa sayısı: 1 | Garson sayısı: 13 | Aşçı sayısı: 4 | Müşteri sayısı: 20 | Kazanç: 2
89) Masa sayısı: 1 | Garson sayısı: 13 | Aşçı sayısı: 5 | Müşteri sayısı: 20 | Kazanç: 1
90) Masa sayısı: 1 | Garson sayısı: 13 | Aşçı sayısı: 6 | Müşteri sayısı: 20 | Kazanç: 0
91) Masa sayısı: 1 | Garson sayısı: 13 | Aşçı sayısı: 7 | Müşteri sayısı: 20 | Kazanç: -1
92) Masa sayısı: 1 | Garson sayısı: 14 | Aşçı sayısı: 1 | Müşteri sayısı: 20 | Kazanç: 4
93) Masa sayısı: 1 | Garson sayısı: 14 | Aşçı sayısı: 2 | Müşteri sayısı: 20 | Kazanç: 3
94) Masa sayısı: 1 | Garson sayısı: 14 | Aşçı sayısı: 3 | Müşteri sayısı: 20 | Kazanç: 2
95) Masa sayısı: 1 | Garson sayısı: 14 | Aşçı sayısı: 4 | Müşteri sayısı: 20 | Kazanç: 1
96) Masa sayısı: 1 | Garson sayısı: 14 | Aşçı sayısı: 5 | Müşteri sayısı: 20 | Kazanç: 0
97) Masa sayısı: 1 | Garson sayısı: 14 | Aşçı sayısı: 6 | Müşteri sayısı: 20 | Kazanç: -1
98) Masa sayısı: 1 | Garson sayısı: 14 | Aşçı sayısı: 7 | Müşteri sayısı: 20 | Kazanç: -2
99) Masa sayısı: 2 | Garson sayısı: 1 | Aşçı sayısı: 1 | Müşteri sayısı: 63 | Kazanç: 59
100) Masa sayısı: 2 | Garson sayısı: 1 | Aşçı sayısı: 2 | Müşteri sayısı: 63 | Kazanç: 58
101) Masa sayısı: 2 | Garson sayısı: 1 | Aşçı sayısı: 3 | Müşteri sayısı: 63 | Kazanç: 57
102) Masa sayısı: 2 | Garson sayısı: 1 | Aşçı sayısı: 4 | Müşteri sayısı: 63 | Kazanç: 56
103) Masa sayısı: 2 | Garson sayısı: 1 | Aşçı sayısı: 5 | Müşteri sayısı: 63 | Kazanç: 55
104) Masa sayısı: 2 | Garson sayısı: 1 | Aşçı sayısı: 6 | Müşteri sayısı: 63 | Kazanç: 54
105) Masa sayısı: 2 | Garson sayısı: 1 | Aşçı sayısı: 7 | Müşteri sayısı: 63 | Kazanç: 53
106) Masa sayısı: 2 | Garson sayısı: 2 | Aşçı sayısı: 1 | Müşteri sayısı: 40 | Kazanç: 35
107) Masa sayısı: 2 | Garson sayısı: 2 | Aşçı sayısı: 2 | Müşteri sayısı: 40 | Kazanç: 34
108) Masa sayısı: 2 | Garson sayısı: 2 | Aşçı sayısı: 3 | Müşteri sayısı: 40 | Kazanç: 33
109) Masa sayısı: 2 | Garson sayısı: 2 | Aşçı sayısı: 4 | Müşteri sayısı: 40 | Kazanç: 32
110) Masa sayısı: 2 | Garson sayısı: 2 | Aşçı sayısı: 5 | Müşteri sayısı: 40 | Kazanç: 31
111) Masa sayısı: 2 | Garson sayısı: 2 | Aşçı sayısı: 6 | Müşteri sayısı: 40 | Kazanç: 30
112) Masa sayısı: 2 | Garson sayısı: 2 | Aşçı sayısı: 7 | Müşteri sayısı: 40 | Kazanç: 29
113) Masa sayısı: 2 | Garson sayısı: 3 | Aşçı sayısı: 1 | Müşteri sayısı: 40 | Kazanç: 34
114) Masa sayısı: 2 | Garson sayısı: 3 | Aşçı sayısı: 2 | Müşteri sayısı: 40 | Kazanç: 33
115) Masa sayısı: 2 | Garson sayısı: 3 | Aşçı sayısı: 3 | Müşteri sayısı: 40 | Kazanç: 32
116) Masa sayısı: 2 | Garson sayısı: 3 | Aşçı sayısı: 4 | Müşteri sayısı: 40 | Kazanç: 31
117) Masa sayısı: 2 | Garson sayısı: 3 | Aşçı sayısı: 5 | Müşteri sayısı: 40 | Kazanç: 30
118) Masa sayısı: 2 | Garson sayısı: 3 | Aşçı sayısı: 6 | Müşteri sayısı: 40 | Kazanç: 29
119) Masa sayısı: 2 | Garson sayısı: 3 | Aşçı sayısı: 7 | Müşteri sayısı: 40 | Kazanç: 28
120) Masa sayısı: 2 | Garson sayısı: 4 | Aşçı sayısı: 1 | Müşteri sayısı: 40 | Kazanç: 33
121) Masa sayısı: 2 | Garson sayısı: 4 | Aşçı sayısı: 2 | Müşteri sayısı: 40 | Kazanç: 32
122) Masa sayısı: 2 | Garson sayısı: 4 | Aşçı sayısı: 3 | Müşteri sayısı: 40 | Kazanç: 31
123) Masa sayısı: 2 | Garson sayısı: 4 | Aşçı sayısı: 4 | Müşteri sayısı: 40 | Kazanç: 30
124) Masa sayısı: 2 | Garson sayısı: 4 | Aşçı sayısı: 5 | Müşteri sayısı: 40 | Kazanç: 29
125) Masa sayısı: 2 | Garson sayısı: 4 | Aşçı sayısı: 6 | Müşteri sayısı: 40 | Kazanç: 28
126) Masa sayısı: 2 | Garson sayısı: 4 | Aşçı sayısı: 7 | Müşteri sayısı: 40 | Kazanç: 27
127) Masa sayısı: 2 | Garson sayısı: 5 | Aşçı sayısı: 1 | Müşteri sayısı: 40 | Kazanç: 32
128) Masa sayısı: 2 | Garson sayısı: 5 | Aşçı sayısı: 2 | Müşteri sayısı: 40 | Kazanç: 31
129) Masa sayısı: 2 | Garson sayısı: 5 | Aşçı sayısı: 3 | Müşteri sayısı: 40 | Kazanç: 30
130) Masa sayısı: 2 | Garson sayısı: 5 | Aşçı sayısı: 4 | Müşteri sayısı: 40 | Kazanç: 29
131) Masa sayısı: 2 | Garson sayısı: 5 | Aşçı sayısı: 5 | Müşteri sayısı: 40 | Kazanç: 28
132) Masa sayısı: 2 | Garson sayısı: 5 | Aşçı sayısı: 6 | Müşteri sayısı: 40 | Kazanç: 27
133) Masa sayısı: 2 | Garson sayısı: 5 | Aşçı sayısı: 7 | Müşteri sayısı: 40 | Kazanç: 26
134) Masa sayısı: 2 | Garson sayısı: 6 | Aşçı sayısı: 1 | Müşteri sayısı: 40 | Kazanç: 31
135) Masa sayısı: 2 | Garson sayısı: 6 | Aşçı sayısı: 2 | Müşteri sayısı: 40 | Kazanç: 30
136) Masa sayısı: 2 | Garson sayısı: 6 | Aşçı sayısı: 3 | Müşteri sayısı: 40 | Kazanç: 29
137) Masa sayısı: 2 | Garson sayısı: 6 | Aşçı sayısı: 4 | Müşteri sayısı: 40 | Kazanç: 28
138) Masa sayısı: 2 | Garson sayısı: 6 | Aşçı sayısı: 5 | Müşteri sayısı: 40 | Kazanç: 27
139) Masa sayısı: 2 | Garson sayısı: 6 | Aşçı sayısı: 6 | Müşteri sayısı: 40 | Kazanç: 26
140) Masa sayısı: 2 | Garson sayısı: 6 | Aşçı sayısı: 7 | Müşteri sayısı: 40 | Kazanç: 25
141) Masa sayısı: 2 | Garson sayısı: 7 | Aşçı sayısı: 1 | Müşteri sayısı: 40 | Kazanç: 30
142) Masa sayısı: 2 | Garson sayısı: 7 | Aşçı sayısı: 2 | Müşteri sayısı: 40 | Kazanç: 29
143) Masa sayısı: 2 | Garson sayısı: 7 | Aşçı sayısı: 3 | Müşteri sayısı: 40 | Kazanç: 28
144) Masa sayısı: 2 | Garson sayısı: 7 | Aşçı sayısı: 4 | Müşteri sayısı: 40 | Kazanç: 27
145) Masa sayısı: 2 | Garson sayısı: 7 | Aşçı sayısı: 5 | Müşteri sayısı: 40 | Kazanç: 26
146) Masa sayısı: 2 | Garson sayısı: 7 | Aşçı sayısı: 6 | Müşteri sayısı: 40 | Kazanç: 25
147) Masa sayısı: 2 | Garson sayısı: 7 | Aşçı sayısı: 7 | Müşteri sayısı: 40 | Kazanç: 24
148) Masa sayısı: 2 | Garson sayısı: 8 | Aşçı sayısı: 1 | Müşteri sayısı: 40 | Kazanç: 29
149) Masa sayısı: 2 | Garson sayısı: 8 | Aşçı sayısı: 2 | Müşteri sayısı: 40 | Kazanç: 28
150) Masa sayısı: 2 | Garson sayısı: 8 | Aşçı sayısı: 3 | Müşteri sayısı: 40 | Kazanç: 27
151) Masa sayısı: 2 | Garson sayısı: 8 | Aşçı sayısı: 4 | Müşteri sayısı: 40 | Kazanç: 26
152) Masa sayısı: 2 | Garson sayısı: 8 | Aşçı sayısı: 5 | Müşteri sayısı: 40 | Kazanç: 25
153) Masa sayısı: 2 | Garson sayısı: 8 | Aşçı sayısı: 6 | Müşteri sayısı: 40 | Kazanç: 24
154) Masa sayısı: 2 | Garson sayısı: 8 | Aşçı sayısı: 7 | Müşteri sayısı: 40 | Kazanç: 23
155) Masa sayısı: 2 | Garson sayısı: 9 | Aşçı sayısı: 1 | Müşteri sayısı: 40 | Kazanç: 28
156) Masa sayısı: 2 | Garson sayısı: 9 | Aşçı sayısı: 2 | Müşteri sayısı: 40 | Kazanç: 27
157) Masa sayısı: 2 | Garson sayısı: 9 | Aşçı sayısı: 3 | Müşteri sayısı: 40 | Kazanç: 26
158) Masa sayısı: 2 | Garson sayısı: 9 | Aşçı sayısı: 4 | Müşteri sayısı: 40 | Kazanç: 25
159) Masa sayısı: 2 | Garson sayısı: 9 | Aşçı sayısı: 5 | Müşteri sayısı: 40 | Kazanç: 24
160) Masa sayısı: 2 | Garson sayısı: 9 | Aşçı sayısı: 6 | Müşteri sayısı: 40 | Kazanç: 23
161) Masa sayısı: 2 | Garson sayısı: 9 | Aşçı sayısı: 7 | Müşteri sayısı: 40 | Kazanç: 22
162) Masa sayısı: 2 | Garson sayısı: 10 | Aşçı sayısı: 1 | Müşteri sayısı: 40 | Kazanç: 27
163) Masa sayısı: 2 | Garson sayısı: 10 | Aşçı sayısı: 2 | Müşteri sayısı: 40 | Kazanç: 26
164) Masa sayısı: 2 | Garson sayısı: 10 | Aşçı sayısı: 3 | Müşteri sayısı: 40 | Kazanç: 25
165) Masa sayısı: 2 | Garson sayısı: 10 | Aşçı sayısı: 4 | Müşteri sayısı: 40 | Kazanç: 24
166) Masa sayısı: 2 | Garson sayısı: 10 | Aşçı sayısı: 5 | Müşteri sayısı: 40 | Kazanç: 23
167) Masa sayısı: 2 | Garson sayısı: 10 | Aşçı sayısı: 6 | Müşteri sayısı: 40 | Kazanç: 22
168) Masa sayısı: 2 | Garson sayısı: 10 | Aşçı sayısı: 7 | Müşteri sayısı: 40 | Kazanç: 21
169) Masa sayısı: 2 | Garson sayısı: 11 | Aşçı sayısı: 1 | Müşteri sayısı: 40 | Kazanç: 26
170) Masa sayısı: 2 | Garson sayısı: 11 | Aşçı sayısı: 2 | Müşteri sayısı: 40 | Kazanç: 25
171) Masa sayısı: 2 | Garson sayısı: 11 | Aşçı sayısı: 3 | Müşteri sayısı: 40 | Kazanç: 24
172) Masa sayısı: 2 | Garson sayısı: 11 | Aşçı sayısı: 4 | Müşteri sayısı: 40 | Kazanç: 23
173) Masa sayısı: 2 | Garson sayısı: 11 | Aşçı sayısı: 5 | Müşteri sayısı: 40 | Kazanç: 22
174) Masa sayısı: 2 | Garson sayısı: 11 | Aşçı sayısı: 6 | Müşteri sayısı: 40 | Kazanç: 21
175) Masa sayısı: 2 | Garson sayısı: 11 | Aşçı sayısı: 7 | Müşteri sayısı: 40 | Kazanç: 20
176) Masa sayısı: 2 | Garson sayısı: 12 | Aşçı sayısı: 1 | Müşteri sayısı: 40 | Kazanç: 25
177) Masa sayısı: 2 | Garson sayısı: 12 | Aşçı sayısı: 2 | Müşteri sayısı: 40 | Kazanç: 24
178) Masa sayısı: 2 | Garson sayısı: 12 | Aşçı sayısı: 3 | Müşteri sayısı: 40 | Kazanç: 23
179) Masa sayısı: 2 | Garson sayısı: 12 | Aşçı sayısı: 4 | Müşteri sayısı: 40 | Kazanç: 22
180) Masa sayısı: 2 | Garson sayısı: 12 | Aşçı sayısı: 5 | Müşteri sayısı: 40 | Kazanç: 21
181) Masa sayısı: 2 | Garson sayısı: 12 | Aşçı sayısı: 6 | Müşteri sayısı: 40 | Kazanç: 20
182) Masa sayısı: 2 | Garson sayısı: 12 | Aşçı sayısı: 7 | Müşteri sayısı: 40 | Kazanç: 19
183) Masa sayısı: 2 | Garson sayısı: 13 | Aşçı sayısı: 1 | Müşteri sayısı: 40 | Kazanç: 24
184) Masa sayısı: 2 | Garson sayısı: 13 | Aşçı sayısı: 2 | Müşteri sayısı: 40 | Kazanç: 23
185) Masa sayısı: 2 | Garson sayısı: 13 | Aşçı sayısı: 3 | Müşteri sayısı: 40 | Kazanç: 22
186) Masa sayısı: 2 | Garson sayısı: 13 | Aşçı sayısı: 4 | Müşteri sayısı: 40 | Kazanç: 21
187) Masa sayısı: 2 | Garson sayısı: 13 | Aşçı sayısı: 5 | Müşteri sayısı: 40 | Kazanç: 20
188) Masa sayısı: 2 | Garson sayısı: 13 | Aşçı sayısı: 6 | Müşteri sayısı: 40 | Kazanç: 19
189) Masa sayısı: 2 | Garson sayısı: 13 | Aşçı sayısı: 7 | Müşteri sayısı: 40 | Kazanç: 18
190) Masa sayısı: 2 | Garson sayısı: 14 | Aşçı sayısı: 1 | Müşteri sayısı: 40 | Kazanç: 23
191) Masa sayısı: 2 | Garson sayısı: 14 | Aşçı sayısı: 2 | Müşteri sayısı: 40 | Kazanç: 22
192) Masa sayısı: 2 | Garson sayısı: 14 | Aşçı sayısı: 3 | Müşteri sayısı: 40 | Kazanç: 21
193) Masa sayısı: 2 | Garson sayısı: 14 | Aşçı sayısı: 4 | Müşteri sayısı: 40 | Kazanç: 20
194) Masa sayısı: 2 | Garson sayısı: 14 | Aşçı sayısı: 5 | Müşteri sayısı: 40 | Kazanç: 19
195) Masa sayısı: 2 | Garson sayısı: 14 | Aşçı sayısı: 6 | Müşteri sayısı: 40 | Kazanç: 18
196) Masa sayısı: 2 | Garson sayısı: 14 | Aşçı sayısı: 7 | Müşteri sayısı: 40 | Kazanç: 17
197) Masa sayısı: 3 | Garson sayısı: 1 | Aşçı sayısı: 1 | Müşteri sayısı: 64 | Kazanç: 59
198) Masa sayısı: 3 | Garson sayısı: 1 | Aşçı sayısı: 2 | Müşteri sayısı: 64 | Kazanç: 58
199) Masa sayısı: 3 | Garson sayısı: 1 | Aşçı sayısı: 3 | Müşteri sayısı: 64 | Kazanç: 57
200) Masa sayısı: 3 | Garson sayısı: 1 | Aşçı sayısı: 4 | Müşteri sayısı: 64 | Kazanç: 56
201) Masa sayısı: 3 | Garson sayısı: 1 | Aşçı sayısı: 5 | Müşteri sayısı: 64 | Kazanç: 55
202) Masa sayısı: 3 | Garson sayısı: 1 | Aşçı sayısı: 6 | Müşteri sayısı: 64 | Kazanç: 54
203) Masa sayısı: 3 | Garson sayısı: 1 | Aşçı sayısı: 7 | Müşteri sayısı: 64 | Kazanç: 53
204) Masa sayısı: 3 | Garson sayısı: 2 | Aşçı sayısı: 1 | Müşteri sayısı: 95 | Kazanç: 89
205) Masa sayısı: 3 | Garson sayısı: 2 | Aşçı sayısı: 2 | Müşteri sayısı: 123 | Kazanç: 116
206) Masa sayısı: 3 | Garson sayısı: 2 | Aşçı sayısı: 3 | Müşteri sayısı: 123 | Kazanç: 115
207) Masa sayısı: 3 | Garson sayısı: 2 | Aşçı sayısı: 4 | Müşteri sayısı: 123 | Kazanç: 114
208) Masa sayısı: 3 | Garson sayısı: 2 | Aşçı sayısı: 5 | Müşteri sayısı: 123 | Kazanç: 113
209) Masa sayısı: 3 | Garson sayısı: 2 | Aşçı sayısı: 6 | Müşteri sayısı: 123 | Kazanç: 112
210) Masa sayısı: 3 | Garson sayısı: 2 | Aşçı sayısı: 7 | Müşteri sayısı: 123 | Kazanç: 111
211) Masa sayısı: 3 | Garson sayısı: 3 | Aşçı sayısı: 1 | Müşteri sayısı: 95 | Kazanç: 88
212) Masa sayısı: 3 | Garson sayısı: 3 | Aşçı sayısı: 2 | Müşteri sayısı: 60 | Kazanç: 52
213) Masa sayısı: 3 | Garson sayısı: 3 | Aşçı sayısı: 3 | Müşteri sayısı: 60 | Kazanç: 51
214) Masa sayısı: 3 | Garson sayısı: 3 | Aşçı sayısı: 4 | Müşteri sayısı: 60 | Kazanç: 50
215) Masa sayısı: 3 | Garson sayısı: 3 | Aşçı sayısı: 5 | Müşteri sayısı: 60 | Kazanç: 49
216) Masa sayısı: 3 | Garson sayısı: 3 | Aşçı sayısı: 6 | Müşteri sayısı: 60 | Kazanç: 48
217) Masa sayısı: 3 | Garson sayısı: 3 | Aşçı sayısı: 7 | Müşteri sayısı: 60 | Kazanç: 47
